Data Mov.,Data Valor,Descrição,Débito,Crédito,Saldo
30/07/2022,30/07/2022,COMPRA MINIPRECO    7491422/30,36.58,,895.32
30/07/2022,30/07/2022,Carreg. VODAFONE Ref.915431798,10.00,,931.90
29/07/2022,29/07/2022,Carreg. VODAFONE Ref.918977293,10.00,,941.90
29/07/2022,29/07/2022,SEPA DD-00017331995-UP SAO JOA,7.80,,951.90
28/07/2022,28/07/2022,TRANSF SEPA -ABOUTYOUGmbh     ,,6.36,959.70
28/07/2022,28/07/2022,Dep.Numerário      50631672841,,30.00,953.34
28/07/2022,28/07/2022,Dep.Numerário      50631672821,,80.00,923.34
23/07/2022,23/07/2022,COMPRA MINIPRECO    7491422/29,37.65,,843.34
18/07/2022,18/07/2022,COMPRA FARMACIA CEN 7491422/28,13.73,,880.99
18/07/2022,18/07/2022,TRF MB - PAULO S F COSTA,,200.00,894.72
16/07/2022,16/07/2022,COMPRA HIPAY SAS    7491422/27,61.71,,694.72
16/07/2022,16/07/2022,COMPRA HIPAY SAS    7491422/26,35.94,,756.43
15/07/2022,15/07/2022,SEPA DD-00017331995-UP SAO JOA,7.80,,792.37
13/07/2022,13/07/2022,"PCDIGA, LDA    23144/775196038",228.70,,800.17
7/7/2022,7/7/2022,MOCHE Ref.925896026,11.00,,1028.87
7/7/2022,7/7/2022,COMPRA REST ALTO MA 7491422/25,17.00,,1039.87
5/7/2022,5/7/2022,HIPAY SAS      12101/443685057,5.00,,1056.87
3/7/2022,3/7/2022,HIPAY SAS      12101/443322132,10.00,,1061.87
1/7/2022,1/7/2022,SEPA DD-00017331995-UP SAO JOA,7.80,,1071.87
