Data Mov.,Data Valor,Descrição,Débito,Crédito,Saldo
27/06/2022,27/06/2022,FORNECEDOR  -DIREC GER ENSINO ,,87.2,1079.67
20/06/2022,20/06/2022,INSTITUTO GEST 21056/363314326,64.38,,992.47
17/06/2022,17/06/2022,SEPA DD-00017331995-UP SAO JOA,7.80,,1056.85
9/6/2022,9/6/2022,LEVANT Fac Engenhar 7491422/24,20.00,,1064.65
9/6/2022,9/6/2022,MEO/ALTICE          7491422/23,10.00,,1084.65
8/6/2022,8/6/2022,COMPRA N VENDING-OP 7491422/22,0.30,,1094.65
7/6/2022,7/6/2022,COMPRA N VENDING-OP 7491422/21,0.90,,1094.95
7/6/2022,7/6/2022,COMPRA N VENDING-OP 7491422/20,0.30,,1095.85
7/6/2022,7/6/2022,COMPRA N VENDING-OP 7491422/19,0.30,,1096.15
6/6/2022,6/6/2022,COMPRA MCDONALDS PO 7491422/18,5.10,,1096.45
3/6/2022,3/6/2022,SEPA DD-00017331995-UP SAO JOA,7.80,,1101.55
1/6/2022,1/6/2022,COMPRA N VENDING-OP 7491422/17,0.30,,1109.35
1/6/2022,1/6/2022,LEVANT Fac Engenhar 7491422/16,10.00,,1109.65
